Phage_ID	Length	GC_content	Taxonomy	Completeness	Host	Lifestyle	Cluster	Subcluster	Phage_source
OTU_6951	16039	46.53033231498223	Adrianviridae	Low-quality	Ruminococcus	virulent	cluster_321808	subcluster_388849	IGVD
OTU_7096	15690	61.12810707456979	Charlieviridae	Low-quality	Bifidobacterium	temperate	cluster_363440	subcluster_438825	IGVD
OTU_7138	15581	51.13278993646107	Martinviridae	Low-quality	-	temperate	cluster_215127	subcluster_259230	IGVD
OTU_12632	5069	46.02485697376208	Gokushoviridae	Complete	-	virulent	cluster_429905	subcluster_518795	IGVD
OTU_14334	3008	37.20079787234042	Anelloviridae	Complete	-	virulent	cluster_501384	subcluster_603346	IGVD
OTU_511	64726	43.32262151222074	Rasmusviridae	Complete	-	virulent	cluster_228043	subcluster_275288	IGVD
OTU_3127	35394	42.89427586596598	Kayaviridae	Complete	Dialister	temperate	cluster_383110	subcluster_462631	IGVD
OTU_5066	22889	59.583205906767446	Danielviridae	Medium-quality	-	virulent	cluster_540447	subcluster_650862	IGVD
OTU_6152	18419	30.00705792931213	Henrikviridae	Low-quality	Intestinibacter	virulent	cluster_161173	subcluster_194154	IGVD
OTU_6958	16025	42.09048361934477	Ejnarviridae	Low-quality	Streptococcus	virulent	cluster_330647	subcluster_399597	IGVD
OTU_8892	11423	28.792786483410666	Filippaviridae	Low-quality	-	virulent	cluster_228723	subcluster_276184	IGVD
OTU_9076	11074	30.756727469748963	Filippaviridae	Low-quality	-	virulent	cluster_336180	subcluster_406136	IGVD
OTU_11358	6171	40.31761464916545	Alpaviridae	Complete	Bacteroides	virulent	cluster_231386	subcluster_279592	IGVD
OTU_11975	5721	47.893724873273904	Gokushoviridae	Complete	Faecalibacterium	virulent	cluster_408585	subcluster_493436	IGVD
OTU_12577	5123	49.81456178020692	Gokushoviridae	High-quality	-	virulent	cluster_219901	subcluster_265343	IGVD
OTU_13116	4550	42.08791208791209	Lineaviridae	High-quality	-	virulent	cluster_381134	subcluster_460259	IGVD
OTU_14840	2825	39.61061946902655	Anelloviridae	High-quality	-	virulent	cluster_147841	subcluster_178386	IGVD
OTU_709	59916	57.39869150143534	Hubertviridae	High-quality	Bifidobacterium	virulent	cluster_534648	subcluster_643839	IGVD
OTU_3577	33154	39.12650057308319	Sebastianviridae	Medium-quality	Veillonella	temperate	cluster_500801	subcluster_602665	IGVD
OTU_3805	31364	54.320239765336055	Akselviridae	Complete	Bifidobacterium	virulent	cluster_521923	subcluster_628397	IGVD
OTU_4653	24999	37.18148725949038	Jeppeviridae	Medium-quality	Lachnospira	temperate	cluster_146531	subcluster_176664	IGVD
OTU_4739	24508	38.766933246286925	Merleviridae	Medium-quality	Veillonella	virulent	cluster_233691	subcluster_282433	IGVD
OTU_4868	23777	37.10728855616773	Ellenviridae	Medium-quality	Enterococcus	temperate	cluster_100758	subcluster_121856	IGVD
OTU_4946	23417	47.70038860656788	Alberteviridae	Medium-quality	-	virulent	cluster_522713	subcluster_629410	IGVD
OTU_6678	16812	62.95503211991434	Kasperviridae	High-quality	Bifidobacterium	virulent	cluster_112218	subcluster_135740	IGVD
OTU_8653	11924	44.38946662193894	Charlesviridae	Low-quality	-	virulent	cluster_387225	subcluster_467789	IGVD
OTU_29	164128	33.67798303762917	Siljaviridae	High-quality	Anaerostipes	temperate	cluster_425444	subcluster_513398	IGVD
OTU_182	96387	29.0256984863104	β-crassviridae	Medium-quality	-	virulent	cluster_339043	subcluster_409546	IGVD
OTU_265	86351	37.186598881310005	Flandersviridae	High-quality	Bacteroides	virulent	cluster_3968	subcluster_4937	IGVD
OTU_447	70052	43.13652715125906	Signeviridae	Low-quality	Clostridium	virulent	cluster_410172	subcluster_495392	IGVD
OTU_451	69605	41.883485381797286	Rasmusviridae	High-quality	Bacteroides	virulent	cluster_446248	subcluster_538090	IGVD
OTU_1197	47292	47.69305590797598	Alberteviridae	High-quality	-	virulent	cluster_248382	subcluster_300039	IGVD
OTU_1332	45395	51.69732349377685	Simoneviridae	Complete	-	temperate	cluster_391999	subcluster_473744	IGVD
OTU_1801	41856	37.08428899082568	Merleviridae	Complete	Veillonella	temperate	cluster_53346	subcluster_65177	IGVD
OTU_1996	41034	42.19427791587464	Amandaviridae	Complete	Anaerostipes	temperate	cluster_215128	subcluster_259231	IGVD
OTU_2075	40712	44.68707015130674	Amandaviridae	High-quality	Hungatella	temperate	cluster_429906	subcluster_518796	IGVD
OTU_3439	33865	47.72774250701314	Hannahviridae	Medium-quality	Bacteroides	virulent	cluster_501385	subcluster_603347	IGVD
OTU_3470	33747	39.70130678282514	Kayaviridae	Complete	Veillonella	virulent	cluster_432922	subcluster_522454	IGVD
OTU_3600	32895	37.41298069615443	Agneteviridae	Medium-quality	-	virulent	cluster_541511	subcluster_652157	IGVD
OTU_3921	30418	41.17956473140904	Sylvesterviridae	Low-quality	Bacteroides	virulent	cluster_383111	subcluster_462632	IGVD
OTU_6400	17617	41.48265879548163	Silkeviridae	Low-quality	-	virulent	cluster_540448	subcluster_650863	IGVD
OTU_6585	17035	39.57147050190783	Bertilviridae	Low-quality	Bacteroides	virulent	cluster_161174	subcluster_194155	IGVD
OTU_10842	6565	37.98933739527799	Inesviridae	Complete	Bacteroides	virulent	cluster_521111	subcluster_627432	IGVD
OTU_10913	6511	38.826601136538166	Inesviridae	Complete	Bacteroides	virulent	cluster_228724	subcluster_276185	IGVD
OTU_11467	6093	39.159691449204	Morganviridae	Complete	-	virulent	cluster_336181	subcluster_406137	IGVD
OTU_11513	6070	38.97858319604613	Almaviridae	Complete	Bacteroides	virulent	cluster_433860	subcluster_523540	IGVD
OTU_13378	4178	42.34083293441838	Morganviridae	Medium-quality	-	virulent	cluster_408586	subcluster_493437	IGVD
OTU_919	54394	40.14597198220392	ε-crassviridae	Low-quality	Parabacteroides	virulent	cluster_550902	subcluster_663303	IGVD
OTU_2340	39520	54.10172064777328	Floraviridae	Medium-quality	Neisseria	virulent	cluster_381135	subcluster_460260	IGVD
OTU_3015	36042	50.94889295821542	Valdemarviridae	Medium-quality	Flavonifractor	temperate	cluster_147842	subcluster_178387	IGVD
OTU_3599	32914	51.59506592939175	Dagmarviridae	High-quality	-	temperate	cluster_534649	subcluster_643840	IGVD
OTU_4339	27170	58.752300331247696	Justinviridae	Medium-quality	Bifidobacterium	temperate	cluster_500802	subcluster_602666	IGVD
OTU_6984	15954	48.84668421712423	Selmaviridae	Medium-quality	Bifidobacterium	virulent	cluster_521924	subcluster_628398	IGVD
OTU_11370	6166	43.88582549464807	Gokushoviridae	Complete	Faecalibacterium	virulent	cluster_341199	subcluster_412005	IGVD
OTU_11888	5799	40.23107432315916	Alpaviridae	High-quality	Bacteroides	virulent	cluster_242845	subcluster_293694	IGVD
OTU_11937	5754	47.08029197080292	Gokushoviridae	Complete	Faecalibacterium	virulent	cluster_365624	subcluster_441372	IGVD
OTU_12620	5083	37.871335825300015	Alpaviridae	Medium-quality	Prevotella	virulent	cluster_522714	subcluster_629413	IGVD
OTU_12625	5079	38.31462886394959	Alpaviridae	Medium-quality	Prevotella	virulent	cluster_112219	subcluster_135741	IGVD
OTU_1593	43070	55.92755978639424	Hannahviridae	Medium-quality	-	virulent	cluster_360983	subcluster_435696	IGVD
OTU_2569	38601	50.638584492629725	Hannahviridae	Medium-quality	Bacteroides	temperate	cluster_387226	subcluster_467790	IGVD
OTU_2890	36770	47.22599945607833	Astridviridae	Medium-quality	Parabacteroides	virulent	cluster_425445	subcluster_513399	IGVD
OTU_3195	35074	44.30917488738096	Jeppeviridae	Complete	Anaerostipes	temperate	cluster_339044	subcluster_409547	IGVD
OTU_3769	31654	39.41997851772288	Adrianviridae	High-quality	-	temperate	cluster_260765	subcluster_314883	IGVD
OTU_3948	30178	49.59573199019153	Agneteviridae	Medium-quality	-	temperate	cluster_410173	subcluster_495393	IGVD
OTU_4943	23418	50.503885899735245	Hannahviridae	Low-quality	Bacteroides	virulent	cluster_446249	subcluster_538091	IGVD
OTU_5729	20003	52.11218317252412	Katrineviridae	Low-quality	Bacteroides	virulent	cluster_248383	subcluster_300040	IGVD
OTU_6415	17571	52.21672073302601	Salasmaviridae	High-quality	Eggerthella	virulent	cluster_434264	subcluster_524001	IGVD
OTU_7741	13996	53.615318662475	Hannibalviridae	Low-quality	Flavonifractor	virulent	cluster_392000	subcluster_473745	IGVD
OTU_9351	10587	45.9998110890715	Astridviridae	Low-quality	Parabacteroides	virulent	cluster_363441	subcluster_438826	IGVD
OTU_10173	8309	47.02130220243109	Agneteviridae	Low-quality	-	virulent	cluster_215129	subcluster_259232	IGVD
OTU_11136	6343	40.23332807819644	Alpaviridae	Complete	Bacteroides	virulent	cluster_460925	subcluster_555195	IGVD
OTU_11167	6322	41.06295476115153	Morganviridae	Complete	-	virulent	cluster_501386	subcluster_603348	IGVD
OTU_2570	38600	45.06217616580311	Amandaviridae	High-quality	Hungatella	temperate	cluster_432923	subcluster_522455	IGVD
OTU_12380	5335	45.06091846298032	Ellaviridae	Not-determined	-	virulent	cluster_383112	subcluster_462633	IGVD
OTU_465	67829	42.24151911424317	Karenviridae	High-quality	Parabacteroides	virulent	cluster_291366	subcluster_351991	IGVD
OTU_561	62990	52.87347197967931	Sisseviridae	Complete	Faecalibacterium	temperate	cluster_161175	subcluster_194156	IGVD
OTU_1241	46594	42.17710434819934	Majviridae	High-quality	Bacteroides	virulent	cluster_330648	subcluster_399599	IGVD
OTU_2228	39973	47.17684436994972	Asgerviridae	Complete	-	temperate	cluster_228725	subcluster_276186	IGVD
OTU_3647	32592	60.04540991654393	Adrianviridae	Medium-quality	Faecalibacterium	temperate	cluster_378752	subcluster_457502	IGVD
OTU_4928	23503	39.32263966302174	Nathalieviridae	Medium-quality	Erysipelatoclostridium	temperate	cluster_433861	subcluster_523541	IGVD
OTU_5333	21682	40.36989207637672	Ejnarviridae	Medium-quality	Streptococcus	temperate	cluster_408587	subcluster_493438	IGVD
OTU_6052	18753	42.68117101263798	Haraldviridae	Medium-quality	-	temperate	cluster_550903	subcluster_663304	IGVD
OTU_6935	16071	33.31466616887561	Bertramviridae	Low-quality	-	temperate	cluster_381136	subcluster_460261	IGVD
OTU_7135	15590	33.45734445157152	Mateoviridae	Low-quality	-	virulent	cluster_147843	subcluster_178388	IGVD
OTU_11652	5975	37.35564853556485	Almaviridae	Complete	Bacteroides	virulent	cluster_161367	subcluster_194400	IGVD
OTU_11708	5934	37.49578699022582	Alpaviridae	High-quality	Bacteroides	virulent	cluster_500803	subcluster_602667	IGVD
OTU_13411	4127	39.78677005088442	Alpaviridae	Medium-quality	Bacteroides	virulent	cluster_521925	subcluster_628399	IGVD
OTU_14449	2966	37.69386378961565	Anelloviridae	Complete	-	virulent	cluster_161210	subcluster_194207	IGVD
OTU_14458	2963	38.13702328720891	Anelloviridae	High-quality	-	virulent	cluster_534713	subcluster_643915	IGVD
OTU_15130	2589	35.41908072614909	Anelloviridae	Medium-quality	-	virulent	cluster_537106	subcluster_646765	IGVD
OTU_558	63020	56.79784195493495	Hubertviridae	High-quality	Bifidobacterium	virulent	cluster_522715	subcluster_629414	IGVD
OTU_630	61511	42.09978702996212	Sisseviridae	High-quality	Ruminococcus	virulent	cluster_112220	subcluster_135742	IGVD
OTU_778	58153	48.81605420184685	Elinviridae	High-quality	-	temperate	cluster_387227	subcluster_467791	IGVD
OTU_834	56631	41.79866151048013	Alvildaviridae	Medium-quality	-	temperate	cluster_425446	subcluster_513400	IGVD
OTU_1014	51724	29.94354651612404	Henrikviridae	Complete	Intestinibacter	temperate	cluster_339045	subcluster_409548	IGVD
OTU_1645	42759	40.00327416450338	Jeppeviridae	Complete	Erysipelatoclostridium	temperate	cluster_260766	subcluster_314884	IGVD
OTU_1703	42426	41.123367746193374	Jonatanviridae	High-quality	Blautia	virulent	cluster_410174	subcluster_495395	IGVD
OTU_1734	42201	41.634084500367294	Alberteviridae	Complete	Anaerostipes	temperate	cluster_446250	subcluster_538092	IGVD
OTU_1754	42076	49.07072915676395	Jeppeviridae	Complete	-	virulent	cluster_248384	subcluster_300041	IGVD
OTU_2194	40148	44.614924778320216	Agneteviridae	Complete	Clostridium	temperate	cluster_151999	subcluster_183358	IGVD
OTU_3128	35394	27.80979827089337	Sigridviridae	High-quality	Clostridium	temperate	cluster_392001	subcluster_473746	IGVD
OTU_3223	34932	50.34352456200618	Alberteviridae	Complete	-	virulent	cluster_363442	subcluster_438827	IGVD
OTU_3302	34551	38.60090880148186	Stormviridae	Medium-quality	Faecalibacterium	virulent	cluster_215130	subcluster_259233	IGVD
OTU_4693	24776	40.14772360348724	Signeviridae	Low-quality	-	virulent	cluster_429907	subcluster_518801	IGVD
OTU_4871	23761	29.27065359202054	Liamviridae	Medium-quality	Intestinibacter	virulent	cluster_501387	subcluster_603349	IGVD
OTU_5250	22062	37.063729489620165	Merleviridae	Medium-quality	Veillonella	temperate	cluster_92418	subcluster_111902	IGVD
OTU_5870	19396	41.06516807589194	Gustavviridae	Low-quality	Ruminococcus	virulent	cluster_383113	subcluster_462634	IGVD
OTU_5964	19063	39.61601007186697	Damienviridae	Low-quality	Haemophilus	temperate	cluster_540449	subcluster_650864	IGVD
OTU_7257	15305	38.268539692910814	Merleviridae	Low-quality	Veillonella	virulent	cluster_161176	subcluster_194157	IGVD
OTU_7334	15085	62.82399734835929	Charlieviridae	Low-quality	Bifidobacterium	virulent	cluster_330649	subcluster_399600	IGVD
OTU_8511	12214	53.13574586540037	Katrineviridae	Low-quality	Bacteroides	virulent	cluster_228726	subcluster_276187	IGVD
OTU_8879	11437	40.640027979365215	Sebastianviridae	Low-quality	-	virulent	cluster_336182	subcluster_406138	IGVD
OTU_9078	11065	41.11161319475825	Damienviridae	Low-quality	-	virulent	cluster_433862	subcluster_523542	IGVD
OTU_9807	9663	42.84383731760323	Nathalieviridae	Low-quality	-	virulent	cluster_408588	subcluster_493439	IGVD
OTU_10345	7722	43.3048433048433	Ellaviridae	Complete	Lachnoclostridium	virulent	cluster_114107	subcluster_137979	IGVD
OTU_11114	6352	35.217254408060455	Inaviridae	Low-quality	-	virulent	cluster_381137	subcluster_460262	IGVD
OTU_11116	6350	40.81889763779528	Morganviridae	High-quality	-	virulent	cluster_89851	subcluster_108873	IGVD
OTU_14314	3021	38.59649122807017	Anelloviridae	High-quality	-	virulent	cluster_233734	subcluster_282483	IGVD
OTU_56	134644	34.08989631918244	Siljaviridae	Medium-quality	Anaerostipes	temperate	cluster_500804	subcluster_602677	IGVD
OTU_470	67278	30.778263325306938	Bellaviridae	Low-quality	Tyzzerella	temperate	cluster_521926	subcluster_628400	IGVD
OTU_763	58520	29.487354750512644	Henrikviridae	High-quality	Intestinibacter	virulent	cluster_340296	subcluster_411010	IGVD
OTU_1461	44065	57.780551458073305	Peterviridae	Complete	Flavonifractor	temperate	cluster_510903	subcluster_615423	IGVD
OTU_2123	40459	37.3192614745792	Nicolasviridae	Complete	Enterococcus	temperate	cluster_100759	subcluster_121857	IGVD
OTU_2227	39975	42.17886178861789	Liliviridae	High-quality	Veillonella	virulent	cluster_522716	subcluster_629415	IGVD
OTU_2281	39732	46.3102788684184	Gustavviridae	High-quality	Lachnoclostridium	temperate	cluster_112221	subcluster_135743	IGVD
OTU_2613	38390	41.90414170356864	Amandaviridae	High-quality	Blautia	temperate	cluster_387228	subcluster_467792	IGVD
OTU_2986	36208	40.9909412284578	Amandaviridae	Complete	Blautia	temperate	cluster_425447	subcluster_513401	IGVD
OTU_3638	32648	38.72825287919628	Frederikviridae	Medium-quality	Enterococcus	temperate	cluster_339046	subcluster_409549	IGVD
OTU_4251	27846	39.765136823960354	Mikkelviridae	Medium-quality	Enterococcus	temperate	cluster_260767	subcluster_314885	IGVD
OTU_4544	25717	41.52506124353541	Bertramviridae	Medium-quality	Veillonella	virulent	cluster_410175	subcluster_495396	IGVD
OTU_6587	17033	41.98908002113544	Nikolineviridae	Low-quality	Haemophilus	virulent	cluster_446251	subcluster_538093	IGVD
OTU_7692	14142	42.518738509404606	Nikolineviridae	Low-quality	Haemophilus	temperate	cluster_248385	subcluster_300042	IGVD
OTU_8750	11734	35.47809783535026	Wilmaviridae	Low-quality	Veillonella	virulent	cluster_392002	subcluster_473747	IGVD
OTU_9225	10794	40.17046507318881	Agneteviridae	Low-quality	-	virulent	cluster_363443	subcluster_438828	IGVD
OTU_10672	6761	37.39091850318	Alpaviridae	High-quality	Bacteroides	virulent	cluster_377945	subcluster_456489	IGVD
OTU_11978	5720	45.82167832167832	Noraviridae	High-quality	-	virulent	cluster_429908	subcluster_518802	IGVD
OTU_13599	3872	35.71797520661157	Nicolasviridae	Low-quality	Lactococcus	temperate	cluster_501388	subcluster_603350	IGVD
OTU_13671	3801	52.74927650618258	Anelloviridae	High-quality	-	virulent	cluster_540492	subcluster_650913	IGVD
OTU_13947	3500	35.65714285714286	Nicolasviridae	Low-quality	-	virulent	cluster_432924	subcluster_522456	IGVD
OTU_14428	2972	36.47375504710632	Anelloviridae	Medium-quality	-	virulent	cluster_383114	subcluster_462635	IGVD
OTU_351	79537	40.38120623106227	Alvildaviridae	Complete	-	virulent	cluster_540450	subcluster_650865	IGVD
OTU_863	55975	41.38454667262171	Irisviridae	Medium-quality	Bacteroides	virulent	cluster_161177	subcluster_194158	IGVD
OTU_879	55703	37.9440963682387	Arnviridae	High-quality	Bacteroides	virulent	cluster_330650	subcluster_399601	IGVD
OTU_1311	45614	52.54527118867015	Tobiasviridae	High-quality	Actinomyces	virulent	cluster_228727	subcluster_276188	IGVD
OTU_1446	44309	52.12710735967863	Jensviridae	High-quality	-	virulent	cluster_404887	subcluster_488940	IGVD
OTU_4516	25891	40.7593372214283	Sebastianviridae	Medium-quality	-	temperate	cluster_433863	subcluster_523543	IGVD
OTU_4783	24204	44.17864815732936	Liliviridae	Medium-quality	Veillonella	virulent	cluster_408589	subcluster_493440	IGVD
OTU_5140	22580	49.38883968113375	Peterviridae	Medium-quality	-	virulent	cluster_252206	subcluster_304625	IGVD
OTU_5456	21135	41.43364088005678	Madsviridae	Low-quality	-	virulent	cluster_550904	subcluster_663305	IGVD
OTU_5905	19287	42.62456576968943	Liliviridae	Low-quality	Veillonella	virulent	cluster_541960	subcluster_652734	IGVD
OTU_6225	18150	46.56749311294766	Andreaviridae	Medium-quality	Lactobacillus	virulent	cluster_147844	subcluster_178389	IGVD
OTU_7015	15877	40.91453045285633	Salasmaviridae	Medium-quality	-	virulent	cluster_373606	subcluster_451264	IGVD
OTU_8232	12767	35.568261925276104	Frederikviridae	Low-quality	Enterococcus	temperate	cluster_500805	subcluster_602678	IGVD
OTU_8954	11301	54.02176798513406	Lauridsviridae	Low-quality	-	temperate	cluster_521927	subcluster_628401	IGVD
OTU_9070	11084	45.967159870083	Runeviridae	Low-quality	Lactobacillus	virulent	cluster_340297	subcluster_411011	IGVD
OTU_9956	9093	50.85230397008688	Lauridsviridae	Low-quality	-	temperate	cluster_233692	subcluster_282434	IGVD
OTU_11362	6170	39.3030794165316	Alpaviridae	High-quality	Bacteroides	virulent	cluster_378749	subcluster_457494	IGVD
OTU_14697	2892	36.51452282157676	Anelloviridae	High-quality	-	virulent	cluster_522717	subcluster_629416	IGVD
OTU_15186	2547	37.65213977228111	Anelloviridae	Medium-quality	-	virulent	cluster_112222	subcluster_135744	IGVD
OTU_14	181757	34.24517350088305	ζ-crassviridae	High-quality	Clostridium	virulent	cluster_387229	subcluster_467793	IGVD
OTU_135	99640	34.519269369731035	α-crassviridae	Complete	-	virulent	cluster_425448	subcluster_513402	IGVD
OTU_360	78569	37.94753656022096	Celinaviridae	Complete	Bacteroides	virulent	cluster_339047	subcluster_409550	IGVD
OTU_389	75697	32.90751284727268	δ-crassviridae	Medium-quality	-	virulent	cluster_260768	subcluster_314886	IGVD
OTU_1277	46015	47.63446702162339	Elenaviridae	High-quality	-	virulent	cluster_410176	subcluster_495397	IGVD
OTU_1928	41306	58.18040962572023	Sofieviridae	High-quality	Faecalibacterium	virulent	cluster_446252	subcluster_538094	IGVD
OTU_3594	32927	59.34339599720594	Bertramviridae	Medium-quality	-	temperate	cluster_248386	subcluster_300043	IGVD
OTU_3716	32094	54.888764255000936	Akselviridae	Complete	Bifidobacterium	virulent	cluster_392003	subcluster_473748	IGVD
OTU_4590	25417	33.103828146516115	Flandersviridae	Low-quality	-	virulent	cluster_363444	subcluster_438829	IGVD
OTU_5457	21132	46.64016657202348	Marcoviridae	Medium-quality	Blautia	virulent	cluster_215131	subcluster_259234	IGVD
OTU_7042	15806	48.72200430216373	Selmaviridae	Medium-quality	Bifidobacterium	virulent	cluster_44444	subcluster_54262	IGVD
OTU_7539	14561	34.915184396676054	Salasmaviridae	Medium-quality	Faecalicatena	virulent	cluster_501389	subcluster_603351	IGVD
OTU_10551	7091	43.50585248907065	Ellaviridae	Complete	-	virulent	cluster_188980	subcluster_227945	IGVD
OTU_10873	6540	37.64525993883792	Alpaviridae	Complete	Bacteroides	virulent	cluster_478980	subcluster_576586	IGVD
OTU_10985	6449	43.0299271204838	Morganviridae	Complete	-	virulent	cluster_410184	subcluster_495406	IGVD
